subject,topic,difficulty,question_text,correct_answer,explanation
math,Производная,easy,Найдите производную функции f(x) = x³,3x²,Производная степенной функции x^n равна n*x^(n-1)
math,Производная,medium,Найдите производную функции f(x) = sin(x) + cos(x),cos(x) - sin(x),Производная sin(x) = cos(x), производная cos(x) = -sin(x)
math,Производная,hard,Найдите производную функции f(x) = e^x * ln(x),e^x * ln(x) + e^x/x,Используется правило производной произведения и производные e^x и ln(x)
math,Интегралы,easy,Вычислите интеграл ∫(2x)dx,x² + C,∫(2x)dx = 2∫x dx = 2*(x²/2) = x²
math,Интегралы,medium,Вычислите интеграл ∫(3x² + 2x + 1)dx,x³ + x² + x + C,Интегрируем каждый член отдельно
math,Интегралы,hard,Вычислите интеграл ∫(e^x)dx,e^x + C,Интеграл от e^x равен e^x
math,Тригонометрия,easy,Чему равен sin(π/2)?,1,sin(π/2) = 1 по определению
math,Тригонометрия,medium,Решите уравнение: sin(x) = 1/2,x = π/6 + 2πn или x = 5π/6 + 2πn, где n ∈ Z,sin(x) = 1/2 при x = π/6 и x = 5π/6 с учетом периода
math,Тригонометрия,hard,Докажите тождество: sin²(x) + cos²(x) = 1,1,Это основное тригонометрическое тождество
math,Логарифмы,easy,Вычислите: log₂(8),3,2³ = 8, поэтому log₂(8) = 3
math,Логарифмы,medium,Решите уравнение: log₃(x) = 4,x = 81,3⁴ = 81, поэтому x = 81
math,Логарифмы,hard,Упростите выражение: log₂(16) + log₂(4),6,log₂(16) = 4, log₂(4) = 2, сумма = 6
math,Уравнения,easy,Решите уравнение: 2x + 5 = 15,x = 5,2x = 10, x = 5
math,Уравнения,medium,Решите квадратное уравнение: x² - 5x + 6 = 0,x = 2; x = 3,Дискриминант D = 1, корни (5±1)/2
math,Уравнения,hard,Решите систему уравнений: {x+y=5; x-y=1},x=3; y=2,Сложим уравнения: 2x=6, x=3, тогда y=2
math,Геометрия,easy,Площадь квадрата со стороной 5 см?,25 см²,Площадь квадрата = a²
math,Геометрия,medium,Найдите объем шара радиусом 3 см.,36π см³,V = (4/3)πr³ = (4/3)π*27 = 36π
math,Геометрия,hard,В прямоугольном треугольнике катеты 3 и 4. Найдите гипотенузу.,5,По теореме Пифагора: √(3²+4²) = √(9+16) = √25 = 5
math,Вероятность,easy,Какова вероятность выпадения орла при подбрасывании монеты?,1/2,Два равновероятных исхода
math,Вероятность,medium,Брошены два кубика. Какова вероятность суммы 7?,1/6,Благоприятных исходов 6 из 36 возможных
math,Вероятность,hard,Из колоды 36 карт вынимают одну. Какова вероятность вынуть туза?,1/9,В колоде 4 туза из 36 карт
math,Неравенства,easy,Решите неравенство: x + 3 > 7,x > 4,Переносим 3: x > 7 - 3 = 4
math,Неравенства,medium,Решите неравенство: x² - 4 < 0,-2 < x < 2,x² - 4 < 0 => (x-2)(x+2) < 0
math,Неравенства,hard,Решите неравенство: |x - 3| < 5,-2 < x < 8,|x - 3| < 5 => -5 < x-3 < 5
math,Последовательности,easy,Найдите 5-й член арифметической прогрессии: 2, 5, 8...,14,d = 3, a₅ = 2 + 4*3 = 14
math,Последовательности,medium,Найдите сумму первых 10 натуральных чисел.,55,S = n(n+1)/2 = 10*11/2 = 55
math,Последовательности,hard,Найдите сумму бесконечной геометрической прогрессии: 1, 1/2, 1/4...,2,S = a/(1-q) = 1/(1-1/2) = 2
math,Стереометрия,easy,Объем куба с ребром 2 м?,8 м³,V = a³ = 2³ = 8
math,Стереометрия,medium,Площадь поверхности сферы радиусом 4 см.,64π см²,S = 4πr² = 4π*16 = 64π
math,Стереометрия,hard,Объем правильной треугольной пирамиды со стороной основания 6 и высотой 4.,12√3 см³,V = (1/3)*Sосн*h = (1/3)*(√3/4*6²)*4 = 12√3
math,Проценты,easy,Найдите 20% от 150.,30,150 * 0.2 = 30
math,Проценты,medium,Число увеличили на 25%, получилось 100. Какое было исходное число?,80,x * 1.25 = 100 => x = 100/1.25 = 80
math,Проценты,hard,Вклад 1000 руб. под 10% годовых. Какая сумма через 2 года при сложных процентах?,1210 руб.,1000 * (1.1)² = 1000 * 1.21 = 1210